tempo, ref, theta, w, u
1.508000, 90.000000, -113.378525, 160.278320, -0.197576
1.518000, 90.000000, -111.779335, 159.667969, -0.237963
1.528000, 90.000000, -110.188087, 158.813477, -0.259591
1.538000, 90.000000, -108.603874, 158.325195, -0.308740
1.548000, 90.000000, -107.026115, 157.409668, -0.325393
1.558000, 90.000000, -105.456917, 156.616211, -0.350950
1.568000, 90.000000, -103.897552, 155.578613, -0.357575
1.578000, 90.000000, -102.347977, 154.663086, -0.372992
1.588000, 90.000000, -100.805450, 153.930664, -0.402057
1.598000, 90.000000, -99.273315, 152.832031, -0.402894
1.607000, 90.000000, -97.746346, 152.526855, -0.463742
1.617000, 90.000000, -96.226379, 151.672363, -0.482792
1.628000, 90.000000, -94.711632, 151.245117, -0.534122
1.637000, 90.000000, -93.204536, 150.329590, -0.548215
1.647000, 90.000000, -91.707512, 149.353027, -0.557201
1.657000, 90.000000, -90.217255, 148.742676, -0.593707
1.668000, 90.000000, -88.738953, 147.399902, -0.574113
1.678000, 90.000000, -87.268295, 146.850586, -0.614300
1.687000, 90.000000, -85.805862, 145.874023, -0.621810
1.697000, 90.000000, -84.350456, 145.507812, -0.675289
1.708000, 90.000000, -82.901428, 144.592285, -0.687005
1.718000, 90.000000, -81.459366, 144.042969, -0.726213
1.727000, 90.000000, -80.022194, 143.432617, -0.760746
1.738000, 90.000000, -78.596985, 142.211914, -0.748407
1.748000, 90.000000, -77.178223, 141.662598, -0.786698
1.758000, 90.000000, -75.768639, 140.563965, -0.782974
1.767000, 90.000000, -74.367973, 139.953613, -0.815801
1.778000, 90.000000, -72.971939, 139.343262, -0.848587
1.787000, 90.000000, -71.585907, 138.366699, -0.853141
1.797000, 90.000000, -70.204147, 138.000488, -0.903885
1.807000, 90.000000, -68.830933, 137.023926, -0.908039
1.817000, 90.000000, -67.463409, 136.474609, -0.944394
1.827000, 90.000000, -66.103218, 135.742188, -0.966604
1.837000, 90.000000, -64.751015, 135.131836, -0.997710
1.847000, 90.000000, -63.405220, 134.338379, -1.014747
1.857000, 90.000000, -62.073544, 132.629395, -0.961599
1.867000, 90.000000, -60.753872, 131.835938, -0.977055
1.877000, 90.000000, -59.442089, 130.798340, -0.973684
1.887000, 90.000000, -58.138557, 130.310059, -1.011518
1.897000, 90.000000, -56.839615, 129.638672, -1.035428
1.907000, 90.000000, -55.548813, 128.784180, -1.045103
1.918000, 90.000000, -54.268982, 127.563477, -1.026436
1.927000, 90.000000, -52.999489, 126.770020, -1.039543
1.937000, 90.000000, -51.734589, 126.159668, -1.066439
1.947000, 90.000000, -50.480705, 125.122070, -1.060360
1.957000, 90.000000, -49.236038, 124.145508, -1.058424
1.967000, 90.000000, -47.998779, 123.657227, -1.093128
1.978000, 90.000000, -46.768829, 122.802734, -1.099793
1.987000, 90.000000, -45.543816, 122.375488, -1.138689
1.997000, 90.000000, -44.327637, 121.215820, -1.121688
2.007000, 90.000000, -43.120213, 120.483398, -1.136582
2.017000, 90.000000, -41.930183, 118.652344, -1.067109
2.027000, 90.000000, -40.750778, 117.614746, -1.057083
2.037000, 90.000000, -39.578941, 117.004395, -1.079047
2.047000, 90.000000, -38.422749, 114.929199, -0.989063
2.057000, 90.000000, -37.277874, 114.257812, -1.004662
2.068000, 90.000000, -36.143963, 113.037109, -0.978020
2.077000, 90.000000, -35.023285, 111.816406, -0.950519
2.087000, 90.000000, -33.907276, 111.389160, -0.982967
2.097000, 90.000000, -32.798244, 110.534668, -0.982753
2.107000, 90.000000, -31.696781, 109.985352, -1.005269
2.117000, 90.000000, -30.600836, 109.313965, -1.018348
2.127000, 90.000000, -29.517281, 108.154297, -0.993670
2.137000, 90.000000, -28.444052, 106.994629, -0.968374
2.147000, 90.000000, -27.379454, 106.140137, -0.965705
2.157000, 90.000000, -26.323317, 105.346680, -0.967196
2.167000, 90.000000, -25.272741, 104.980469, -1.000819
2.177000, 90.000000, -24.230190, 103.881836, -0.978570
2.187000, 90.000000, -23.199547, 102.844238, -0.960175
2.197000, 90.000000, -22.173845, 102.478027, -0.992441
2.207000, 90.000000, -21.152441, 101.928711, -1.010736
2.217000, 90.000000, -20.141350, 100.769043, -0.982194
2.228000, 90.000000, -19.137548, 100.280762, -1.004103
2.237000, 90.000000, -18.137630, 99.792480, -1.025934
2.247000, 90.000000, -17.151409, 98.449707, -0.982146
2.257000, 90.000000, -16.172537, 97.656250, -0.979557
2.267000, 90.000000, -15.197952, 97.290039, -1.009190
2.277000, 90.000000, -14.230746, 96.374512, -0.996850
2.287000, 90.000000, -13.271251, 95.886230, -1.016431
2.297000, 90.000000, -12.319742, 94.726562, -0.984742
2.307000, 90.000000, -11.377423, 94.177246, -0.998702
2.317000, 90.000000, -10.441456, 93.383789, -0.993872
2.327000, 90.000000, -9.512156, 92.834473, -1.007185
2.337000, 90.000000, -8.586753, 92.285156, -1.020399
2.347000, 90.000000, -7.671949, 91.186523, -0.991347
2.357000, 90.000000, -6.763317, 90.698242, -1.008197
2.367000, 90.000000, -5.860509, 90.026855, -1.010915
2.377000, 90.000000, -4.962902, 89.599609, -1.031894
2.387000, 90.000000, -4.073041, 88.684082, -1.015469
2.397000, 90.000000, -3.190911, 87.951660, -1.012462
2.407000, 90.000000, -2.318238, 87.158203, -1.004239
2.417000, 90.000000, -1.449262, 86.853027, -1.032884
2.427000, 90.000000, -0.587585, 85.998535, -1.019535
2.437000, 90.000000, 0.264133, 84.960938, -0.991681
2.447000, 90.000000, 1.107033, 84.106445, -0.977141
2.457000, 90.000000, 1.944512, 83.557129, -0.985449
2.466000, 90.000000, 2.777774, 83.190918, -1.007467
2.477000, 90.000000, 3.602460, 81.970215, -0.964270
2.487000, 90.000000, 4.417342, 81.298828, -0.962016
2.497000, 90.000000, 5.225380, 80.688477, -0.963997
2.507000, 90.000000, 6.029958, 80.261230, -0.979747
2.516000, 90.000000, 6.827494, 79.589844, -0.976611
2.526000, 90.000000, 7.618574, 79.040527, -0.982360
2.537000, 90.000000, 8.405383, 78.613281, -0.997183
2.547000, 90.000000, 9.187126, 78.002930, -0.997906
2.556000, 90.000000, 9.962414, 77.453613, -1.002891
2.566000, 90.000000, 10.733162, 76.843262, -1.003061
2.577000, 90.000000, 11.494573, 75.988770, -0.984136
2.587000, 90.000000, 12.251445, 75.561523, -0.997355
2.596000, 90.000000, 13.004073, 75.012207, -1.001159
2.606000, 90.000000, 13.749025, 74.218750, -0.986009
2.616000, 90.000000, 14.484705, 73.425293, -0.970245
2.627000, 90.000000, 15.213470, 72.692871, -0.958690
2.636000, 90.000000, 15.934581, 72.021484, -0.951277
2.646000, 90.000000, 16.654167, 71.899414, -0.985501
2.656000, 90.000000, 17.367081, 71.105957, -0.968507
2.666000, 90.000000, 18.074286, 70.617676, -0.974302
2.677000, 90.000000, 18.777853, 70.251465, -0.989204
2.687000, 90.000000, 19.476509, 69.641113, -0.985378
2.699000, 90.000000, 20.167288, 68.969727, -0.976428
2.710000, 90.000000, 20.853285, 68.115234, -0.953379
2.716000, 90.000000, 21.533031, 67.749023, -0.966926
2.726000, 90.000000, 22.207771, 67.321777, -0.975593
2.736000, 90.000000, 22.877453, 66.955566, -0.988615
2.747000, 90.000000, 23.543058, 66.345215, -0.982974
2.756000, 90.000000, 24.199770, 65.490723, -0.958249
2.766000, 90.000000, 24.852764, 65.246582, -0.979574
2.776000, 90.000000, 25.502167, 64.697266, -0.977654
2.786000, 90.000000, 26.144295, 64.086914, -0.970648
2.798000, 90.000000, 26.780634, 63.598633, -0.972545
2.806000, 90.000000, 27.415117, 63.415527, -0.997547
2.816000, 90.000000, 28.042868, 62.500000, -0.966683
2.826000, 90.000000, 28.662525, 61.828613, -0.953758
2.837000, 90.000000, 29.280552, 61.706543, -0.982435
2.846000, 90.000000, 29.891220, 60.791016, -0.950566
2.856000, 90.000000, 30.495358, 60.302734, -0.950630
2.866000, 90.000000, 31.098188, 60.119629, -0.973837
2.876000, 90.000000, 31.694136, 59.448242, -0.959639
2.886000, 90.000000, 32.284306, 58.898926, -0.954333
2.896000, 90.000000, 32.872166, 58.715820, -0.976700
2.906000, 90.000000, 33.454483, 58.105469, -0.966395
2.916000, 90.000000, 34.029438, 57.434082, -0.950979
2.926000, 90.000000, 34.601017, 57.006836, -0.953899
2.936000, 90.000000, 35.167912, 56.579590, -0.956560
2.946000, 90.000000, 35.727287, 55.725098, -0.926370
2.956000, 90.000000, 36.281116, 55.297852, -0.928185
2.966000, 90.000000, 36.832268, 54.992676, -0.939151
2.976000, 90.000000, 37.377239, 54.382324, -0.926620
2.986000, 90.000000, 37.915623, 53.771973, -0.913656
2.996000, 90.000000, 38.449974, 53.405762, -0.918962
3.011000, 90.000000, 38.978313, 52.307129, -0.868439
3.016000, 90.000000, 39.500893, 52.185059, -0.891477
3.026000, 90.000000, 40.019188, 51.696777, -0.886556
3.036000, 90.000000, 40.535332, 51.513672, -0.904683
3.046000, 90.000000, 41.044926, 50.781250, -0.880790
3.056000, 90.000000, 41.548649, 50.231934, -0.870379
3.066000, 90.000000, 42.050331, 50.109863, -0.892263
3.076000, 90.000000, 42.546085, 49.377441, -0.867558
3.086000, 90.000000, 43.034290, 48.706055, -0.846944
3.096000, 90.000000, 43.519058, 48.339844, -0.849259
3.106000, 90.000000, 43.998875, 47.790527, -0.837408
3.116000, 90.000000, 44.472027, 47.058105, -0.811239
3.126000, 90.000000, 44.939991, 46.691895, -0.812464
3.136000, 90.000000, 45.404308, 46.264648, -0.808872
3.146000, 90.000000, 45.861584, 45.532227, -0.781686
3.156000, 90.000000, 46.313877, 45.227051, -0.786527
3.166000, 90.000000, 46.765198, 44.982910, -0.796021
3.176000, 90.000000, 47.210144, 44.311523, -0.772734
3.186000, 90.000000, 47.648987, 43.762207, -0.758272
3.196000, 90.000000, 48.085186, 43.640137, -0.776035
3.206000, 90.000000, 48.519909, 43.395996, -0.784543
3.216000, 90.000000, 48.946377, 42.480469, -0.741621
3.226000, 90.000000, 49.367687, 42.053223, -0.735323
3.236000, 90.000000, 49.787502, 41.809082, -0.742864
3.246000, 90.000000, 50.201878, 41.259766, -0.726940
3.256000, 90.000000, 50.608059, 40.405273, -0.687307
3.266000, 90.000000, 51.009571, 40.039062, -0.684337
3.276000, 90.000000, 51.406998, 39.611816, -0.676495
3.286000, 90.000000, 51.798035, 38.879395, -0.645097
3.296000, 90.000000, 52.183559, 38.452148, -0.636423
3.306000, 90.000000, 52.566612, 38.269043, -0.646114
3.316000, 90.000000, 52.945114, 37.719727, -0.627787
3.326000, 90.000000, 53.316555, 37.048340, -0.599703
3.335000, 90.000000, 53.686211, 36.926270, -0.613143
3.346000, 90.000000, 54.053261, 36.560059, -0.607970
3.356000, 90.000000, 54.413937, 35.888672, -0.579235
3.366000, 90.000000, 54.770351, 35.522461, -0.573325
3.375000, 90.000000, 55.123745, 35.278320, -0.576485
3.385000, 90.000000, 55.474724, 34.851074, -0.565665
3.396000, 90.000000, 55.816238, 33.996582, -0.521770
3.406000, 90.000000, 56.152290, 33.508301, -0.505210
3.416000, 90.000000, 56.484924, 33.142090, -0.497681
3.425000, 90.000000, 56.811371, 32.470703, -0.466597
3.436000, 90.000000, 57.132263, 31.921387, -0.444355
3.445000, 90.000000, 57.450985, 31.799316, -0.454350
3.455000, 90.000000, 57.766399, 31.433105, -0.445658
3.465000, 90.000000, 58.074799, 30.700684, -0.408716
3.475000, 90.000000, 58.379192, 30.334473, -0.399226
3.486000, 90.000000, 58.682129, 30.334473, -0.417411
3.495000, 90.000000, 58.980801, 29.663086, -0.384479
3.506000, 90.000000, 59.274357, 29.174805, -0.365040
3.515000, 90.000000, 59.563713, 28.808594, -0.354553
3.526000, 90.000000, 59.850704, 28.625488, -0.357796
3.535000, 90.000000, 60.131229, 27.770996, -0.309726
3.545000, 90.000000, 60.405334, 27.282715, -0.288893
3.556000, 90.000000, 60.677315, 27.099609, -0.291047
3.566000, 90.000000, 60.944691, 26.611328, -0.269770
3.578000, 90.000000, 61.205956, 25.878906, -0.229548
3.585000, 90.000000, 61.463108, 25.573730, -0.221379
3.596000, 90.000000, 61.715939, 25.207520, -0.208280
3.605000, 90.000000, 61.966351, 25.024414, -0.208897
3.615000, 90.000000, 62.211575, 24.230957, -0.162924
3.625000, 90.000000, 62.452209, 23.986816, -0.158198
3.635000, 90.000000, 62.690731, 23.803711, -0.157970
3.645000, 90.000000, 62.925896, 23.376465, -0.139031
3.655000, 90.000000, 63.155876, 22.888184, -0.115082
3.666000, 90.000000, 63.382252, 22.583008, -0.104740
3.675000, 90.000000, 63.606857, 22.277832, -0.094301
3.686000, 90.000000, 63.826275, 21.728516, -0.064989
3.695000, 90.000000, 64.039581, 21.057129, -0.025960
3.705000, 90.000000, 64.248932, 20.751953, -0.014365
3.715000, 90.000000, 64.455788, 20.629883, -0.016469
3.725000, 90.000000, 64.657181, 19.897461, 0.028053
3.735000, 90.000000, 64.853012, 19.470215, 0.049904
3.745000, 90.000000, 65.045486, 19.226074, 0.058137
3.755000, 90.000000, 65.235786, 18.981934, 0.066508
3.765000, 90.000000, 65.420570, 18.249512, 0.112273
3.775000, 90.000000, 65.599480, 17.761230, 0.140020
3.785000, 90.000000, 65.777817, 17.822266, 0.126188
3.795000, 90.000000, 65.954971, 17.639160, 0.130893
3.805000, 90.000000, 66.126610, 16.967773, 0.172995
3.815000, 90.000000, 66.293983, 16.723633, 0.183082
3.826000, 90.000000, 66.458580, 16.235352, 0.211848
3.835000, 90.000000, 66.619255, 15.930176, 0.227051
3.845000, 90.000000, 66.772919, 15.197754, 0.275165
3.855000, 90.000000, 66.921677, 14.709473, 0.305185
3.865000, 90.000000, 67.066772, 14.526367, 0.312383
3.875000, 90.000000, 67.209984, 14.221191, 0.328948
3.885000, 90.000000, 67.346741, 13.427734, 0.383001
3.895000, 90.000000, 67.477654, 13.061523, 0.405183
3.905000, 90.000000, 67.606453, 12.817383, 0.418275
3.915000, 90.000000, 67.732773, 12.573242, 0.431550
3.925000, 90.000000, 67.855141, 12.145996, 0.458996
3.935000, 90.000000, 67.971664, 11.596680, 0.496160
3.945000, 90.000000, 68.086967, 11.535645, 0.496437
3.955000, 90.000000, 68.201385, 11.413574, 0.501382
3.965000, 90.000000, 68.310028, 10.742188, 0.548382
3.975000, 90.000000, 68.412842, 10.192871, 0.586621
3.985000, 90.000000, 68.512642, 10.009766, 0.597373
3.995000, 90.000000, 68.610268, 9.765625, 0.612909
4.005000, 90.000000, 68.703911, 9.216309, 0.651868
4.015000, 90.000000, 68.789917, 8.483887, 0.705327
4.025000, 90.000000, 68.871925, 8.117676, 0.731390
4.035000, 90.000000, 68.953300, 8.117676, 0.729765
4.045000, 90.000000, 69.029793, 7.507324, 0.774748
4.055000, 90.000000, 69.100449, 7.019043, 0.810977
4.065000, 90.000000, 69.167442, 6.652832, 0.838265
4.075000, 90.000000, 69.235344, 6.835938, 0.823874
4.085000, 90.000000, 69.299858, 6.408691, 0.855964
4.095000, 90.000000, 69.359505, 5.920410, 0.893080
4.105000, 90.000000, 69.415443, 5.554199, 0.921263
4.115000, 90.000000, 69.469910, 5.493164, 0.926458
4.125000, 90.000000, 69.522583, 5.187988, 0.950276
4.135000, 90.000000, 69.570076, 4.699707, 0.988392
4.145000, 90.000000, 69.612671, 4.150391, 1.031542
4.155000, 90.000000, 69.653481, 4.089355, 1.037874
4.165000, 90.000000, 69.693672, 3.906250, 1.053489
4.175000, 90.000000, 69.728989, 3.356934, 1.097240
4.185000, 90.000000, 69.759674, 3.051758, 1.122903
4.194000, 90.000000, 69.789764, 3.051758, 1.125508
4.204000, 90.000000, 69.826805, 3.967285, 1.058196
4.215000, 90.000000, 69.864456, 3.723145, 1.078608
4.225000, 90.000000, 69.900848, 3.479004, 1.099120
4.235000, 90.000000, 69.934822, 3.417969, 1.105971
4.244000, 90.000000, 69.984314, 5.737305, 0.931271
4.255000, 90.000000, 70.043663, 5.798340, 0.926654
4.264000, 90.000000, 70.096901, 5.187988, 0.973377
4.274000, 90.000000, 70.144951, 4.760742, 1.006676
4.284000, 90.000000, 70.193375, 4.821777, 1.002967
4.294000, 90.000000, 70.241798, 4.760742, 1.008486
4.304000, 90.000000, 70.289627, 4.882812, 1.000184
4.314000, 90.000000, 70.336594, 4.516602, 1.028907
4.325000, 90.000000, 70.379593, 4.211426, 1.053343
4.335000, 90.000000, 70.420731, 3.967285, 1.073310
4.344000, 90.000000, 70.457939, 3.662109, 1.098228
4.355000, 90.000000, 70.492363, 3.601074, 1.104896
4.367000, 90.000000, 70.524651, 2.990723, 1.153325
4.374000, 90.000000, 70.552696, 2.624512, 1.183633
4.385000, 90.000000, 70.579483, 2.807617, 1.172460
4.394000, 90.000000, 70.607140, 2.746582, 1.179686
4.405000, 90.000000, 70.631432, 2.441406, 1.205679
4.414000, 90.000000, 70.652977, 2.136230, 1.231905
4.424000, 90.000000, 70.673309, 1.953125, 1.248990
4.434000, 90.000000, 70.693077, 1.953125, 1.252257
4.444000, 90.000000, 70.715340, 2.319336, 1.227579
4.454000, 90.000000, 70.739746, 2.380371, 1.225812
4.465000, 90.000000, 70.761490, 2.380371, 1.228890
4.474000, 90.000000, 70.783211, 2.075195, 1.255067
4.484000, 90.000000, 70.804695, 2.380371, 1.235055
4.494000, 90.000000, 70.827103, 2.197266, 1.251920
4.504000, 90.000000, 70.851097, 2.258301, 1.250160
4.515000, 90.000000, 70.871979, 2.014160, 1.271766
4.525000, 90.000000, 70.895645, 2.380371, 1.246921
4.534000, 90.000000, 70.918007, 2.197266, 1.263767
4.545000, 90.000000, 70.939468, 2.319336, 1.257583
4.554000, 90.000000, 70.960289, 2.014160, 1.283792
4.564000, 90.000000, 70.979317, 1.831055, 1.300911
4.574000, 90.000000, 70.997093, 1.770020, 1.308893
4.584000, 90.000000, 71.013939, 1.708984, 1.316951
4.594000, 90.000000, 71.028984, 1.525879, 1.334402
4.604000, 90.000000, 71.042252, 1.342773, 1.352004
4.614000, 90.000000, 71.055489, 1.403809, 1.351124
4.624000, 90.000000, 71.066673, 0.976562, 1.387381
4.634000, 90.000000, 71.089493, 2.624512, 1.265532
4.644000, 90.000000, 71.115402, 2.502441, 1.277399
4.654000, 90.000000, 71.138000, 2.136230, 1.308028
4.664000, 90.000000, 71.156631, 1.770020, 1.338997
4.674000, 90.000000, 71.174644, 1.770020, 1.342292
4.684000, 90.000000, 71.189262, 1.403809, 1.373600
4.694000, 90.000000, 71.203865, 1.403809, 1.377184
4.704000, 90.000000, 71.216934, 1.220703, 1.394758
4.714000, 90.000000, 71.227814, 1.037598, 1.412519
4.724000, 90.000000, 71.235565, 0.671387, 1.444410
4.735000, 90.000000, 71.242729, 0.732422, 1.444008
4.744000, 90.000000, 71.250481, 0.732422, 1.448173
4.754000, 90.000000, 71.257935, 0.732422, 1.452362
4.764000, 90.000000, 71.263542, 0.427246, 1.479812
4.774000, 90.000000, 71.276131, 1.403809, 1.409625
4.784000, 90.000000, 71.289398, 1.342773, 1.417923
4.794000, 90.000000, 71.299667, 0.915527, 1.454200
4.804000, 90.000000, 71.307533, 0.671387, 1.476822
4.814000, 90.000000, 71.313248, 0.488281, 1.495008
4.824000, 90.000000, 71.318054, 0.366211, 1.508653
4.834000, 90.000000, 71.322586, 0.488281, 1.503838
4.844000, 90.000000, 71.324295, 0.061035, 1.540851
4.854000, 90.000000, 71.324211, -0.061035, 1.554917
4.864000, 90.000000, 71.324043, 0.000000, 1.555130
4.874000, 90.000000, 71.323563, 0.000000, 1.559990
4.884000, 90.000000, 71.323364, -0.122070, 1.574067
4.894000, 90.000000, 71.320702, -0.366211, 1.597598
4.904000, 90.000000, 71.316154, -0.549316, 1.616674
4.914000, 90.000000, 71.313416, 0.061035, 1.575529
4.924000, 90.000000, 71.317627, 0.305176, 1.561502
4.934000, 90.000000, 71.323433, 0.732422, 1.533475
4.944000, 90.000000, 71.330460, 0.671387, 1.542303
4.954000, 90.000000, 71.338745, 0.915527, 1.527918
4.964000, 90.000000, 71.344597, 0.549316, 1.559946
4.974000, 90.000000, 71.349854, 0.488281, 1.568922
4.984000, 90.000000, 71.352089, 0.183105, 1.596642
4.994000, 90.000000, 71.351547, -0.122070, 1.624602
5.004000, 90.000000, 71.349518, -0.122070, 1.629589
5.014000, 90.000000, 71.345650, -0.366211, 1.653219
5.024000, 90.000000, 71.341415, -0.549316, 1.672261
5.034000, 90.000000, 71.349983, 1.220703, 1.542340
5.044000, 90.000000, 71.360985, 0.915527, 1.569297
5.054000, 90.000000, 71.368889, 0.793457, 1.582659
5.064000, 90.000000, 71.375809, 0.732422, 1.591485
5.074000, 90.000000, 71.383308, 0.732422, 1.595637
5.084000, 90.000000, 71.390190, 0.671387, 1.604462
5.094000, 90.000000, 71.397026, 0.671387, 1.608669
