Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
21200, 7.423516, 0.000000
21300, 7.423516, 0.000000
21400, 7.428352, 0.000000
21500, 7.428352, 0.000000
21600, 7.423516, 0.000000
21700, 7.423516, 0.000000
21800, 7.423516, 0.000000
21900, 7.428352, 0.000000
22000, 7.423516, 0.000000
22100, 7.438022, 0.000000
22200, 7.438022, 0.000000
22300, 7.438022, 0.000000
22400, 7.438022, 0.000000
22500, 7.433187, 0.000000
22600, 7.423516, 0.000000
22700, 7.423516, 0.000000
22800, 7.423516, 0.000000
22900, 7.423516, 0.000000
23000, 7.423516, 0.000000
23100, 7.423516, 0.000000
23200, 7.423516, 0.000000
23300, 7.423516, 0.000000
23400, 7.423516, 0.000000
23500, 7.423516, 0.000000
23600, 7.423516, 0.000000
23700, 7.428352, 0.000000
23800, 7.423516, 0.000000
23900, 7.423516, 0.000000
24000, 7.423516, 0.000000
24100, 7.438022, 0.000000
24200, 7.438022, 0.000000
24300, 7.433187, 0.000000
24400, 7.438022, 0.000000
24500, 7.438022, 0.000000
24600, 7.423516, 0.000000
24700, 7.428352, 0.000000
24800, 7.423516, 0.000000
24900, 7.423516, 0.000000
25000, 7.423516, 0.000000
25100, 7.418681, 0.000000
25200, 7.428352, 0.000000
25300, 7.428352, 0.000000
25400, 7.423516, 0.000000
25500, 7.423516, 0.000000
25600, 7.423516, 0.000000
25700, 7.423516, 0.000000
25800, 7.423516, 0.000000
25900, 7.423516, 0.000000
26000, 7.423516, 0.000000
26100, 7.433187, 0.000000
26200, 7.442857, 0.000000
26300, 7.438022, 0.000000
26400, 7.438022, 0.000000
26500, 7.438022, 0.000000
26600, 7.423516, 0.000000
26700, 7.423516, 0.000000
26800, 7.423516, 0.000000
26900, 7.423516, 0.000000
27000, 7.423516, 0.000000
27100, 7.423516, 0.000000
27200, 7.423516, 0.000000
27300, 7.418681, 0.000000
27400, 7.423516, 0.000000
27500, 7.428352, 0.000000
27600, 7.423516, 0.000000
27700, 7.423516, 0.000000
27800, 7.423516, 0.000000
27900, 7.423516, 0.000000
28000, 7.423516, 0.000000
28100, 7.438022, 0.000000
28200, 7.438022, 0.000000
28300, 7.438022, 0.000000
28400, 7.438022, 0.000000
28500, 7.438022, 0.000000
28600, 7.423516, 0.000000
28700, 7.423516, 0.000000
28800, 7.423516, 0.000000
28900, 7.423516, 0.000000
29000, 7.423516, 0.000000
29100, 7.423516, 0.000000
29200, 7.423516, 0.000000
29300, 7.428352, 0.000000
29400, 7.423516, 0.000000
29500, 7.423516, 0.000000
29600, 7.423516, 0.000000
29700, 7.423516, 0.000000
29800, 7.423516, 0.000000
29900, 7.428352, 0.000000
30000, 7.428352, 0.000000
30100, 7.438022, 0.000000
30200, 7.438022, 0.000000
30300, 7.438022, 0.000000
30400, 7.438022, 0.000000
30500, 7.442857, 0.000000
30600, 7.423516, 0.000000
30700, 7.428352, 0.000000
30800, 7.423516, 0.000000
30900, 7.423516, 0.000000
31000, 7.418681, 0.000000
31100, 7.423516, 0.000000
31200, 7.428352, 0.000000
31300, 7.428352, 0.000000
31400, 7.423516, 0.000000
31500, 7.423516, 0.000000
31600, 7.428352, 0.000000
31700, 7.423516, 0.000000
31800, 7.428352, 0.000000
31900, 7.423516, 0.000000
32000, 7.423516, 0.000000
32100, 7.442857, 0.000000
32200, 7.438022, 0.000000
32300, 7.438022, 0.000000
32400, 7.438022, 0.000000
32500, 7.438022, 0.000000
32600, 7.428352, 0.000000
32700, 7.423516, 0.000000
32800, 7.423516, 0.000000
32900, 7.423516, 0.000000
33000, 7.423516, 0.000000
33100, 7.423516, 0.000000
33200, 7.423516, 0.000000
33300, 7.428352, 0.000000
33400, 7.423516, 0.000000
33500, 7.423516, 0.000000
33600, 7.423516, 0.000000
33700, 7.428352, 0.000000
33800, 7.428352, 0.000000
33900, 7.423516, 0.000000
34000, 7.423516, 0.000000
34100, 7.438022, 0.000000
34200, 7.438022, 0.000000
34300, 7.438022, 0.000000
34400, 7.438022, 0.000000
34500, 7.433187, 0.000000
34600, 7.423516, 0.000000
34700, 7.423516, 0.000000
34800, 7.428352, 0.000000
34900, 7.423516, 0.000000
35000, 7.423516, 0.000000
35100, 7.423516, 0.000000
35200, 7.423516, 0.000000
35300, 7.423516, 0.000000
35400, 7.423516, 0.000000
35500, 7.423516, 0.000000
35600, 7.423516, 0.000000
35700, 7.423516, 0.000000
35800, 7.423516, 0.000000
35900, 7.423516, 0.000000
36000, 7.423516, 0.000000
36100, 7.438022, 0.000000
36200, 7.438022, 0.000000
36300, 7.438022, 0.000000
36400, 7.433187, 0.000000
36500, 7.433187, 0.000000
36600, 7.423516, 0.000000
36700, 7.428352, 0.000000
36800, 7.423516, 0.000000
36900, 7.428352, 0.000000
37000, 7.423516, 0.000000
37100, 7.423516, 0.000000
37200, 7.423516, 0.000000
37300, 7.423516, 0.000000
37400, 7.428352, 0.000000
37500, 7.423516, 0.000000
37600, 7.423516, 0.000000
37700, 7.428352, 0.000000
37800, 7.423516, 0.000000
37900, 7.423516, 0.000000
38000, 7.423516, 0.000000
38100, 7.438022, 0.000000
38200, 7.438022, 0.000000
38300, 7.433187, 0.000000
38400, 7.438022, 0.000000
38500, 7.438022, 0.000000
38600, 7.418681, 0.000000
38700, 7.423516, 0.000000
38800, 7.413846, 0.000000
38900, 7.423516, 0.000000
39000, 7.423516, 0.000000
39100, 7.428352, 0.000000
39200, 7.423516, 0.000000
39300, 7.423516, 0.000000
39400, 7.423516, 0.000000
39500, 7.423516, 0.000000
39600, 7.423516, 0.000000
39700, 7.428352, 0.000000
39800, 7.423516, 0.000000
39900, 7.423516, 0.000000
40000, 7.428352, 0.000000
40100, 7.438022, 0.000000
40200, 7.438022, 0.000000
40300, 7.438022, 0.000000
40400, 7.438022, 0.000000
40500, 7.438022, 0.000000
40600, 7.428352, 0.000000
40700, 7.423516, 0.000000
40800, 7.423516, 0.000000
40900, 7.423516, 0.000000
41000, 7.423516, 0.000000
41100, 7.423516, 0.000000
41200, 7.423516, 0.000000
41300, 7.423516, 0.000000
41400, 7.423516, 0.000000
41500, 7.423516, 0.000000
41600, 7.428352, 0.000000
41700, 7.423516, 0.000000
41800, 7.423516, 0.000000
41900, 7.423516, 0.000000
42000, 7.423516, 0.000000
42100, 7.433187, 0.000000
42200, 7.438022, 0.000000
42300, 7.438022, 0.000000
42400, 7.438022, 0.000000
42500, 7.438022, 0.000000
42600, 7.423516, 0.000000
42700, 7.423516, 0.000000
42800, 7.428352, 0.000000
42900, 7.423516, 0.000000
43000, 7.423516, 0.000000
43100, 7.428352, 0.000000
43200, 7.428352, 0.000000
43300, 7.423516, 0.000000
43400, 7.423516, 0.000000
43500, 7.423516, 0.000000
43600, 7.428352, 0.000000
43700, 7.423516, 0.000000
43800, 7.423516, 0.000000
43900, 7.423516, 0.000000
44000, 7.423516, 0.000000
44100, 7.438022, 0.000000
44200, 7.433187, 0.000000
44300, 7.438022, 0.000000
44400, 7.438022, 0.000000
44500, 7.438022, 0.000000
44600, 7.428352, 0.000000
44700, 7.423516, 0.000000
44800, 7.423516, 0.000000
44900, 7.423516, 0.000000
45000, 7.428352, 0.000000
45100, 7.423516, 0.000000
45200, 7.423516, 0.000000
45300, 7.423516, 0.000000
45400, 7.423516, 0.000000
45500, 7.423516, 0.000000
45600, 7.428352, 0.000000
45700, 7.428352, 0.000000
45800, 7.423516, 0.000000
45900, 7.423516, 0.000000
46000, 7.428352, 0.000000
46100, 7.438022, 0.000000
46200, 7.433187, 0.000000
46300, 7.433187, 0.000000
