Tempo(ms), Tensão da Bateria(V) , Tensão do Jack
0, 7.868352, 0.000000
100, 7.873187, 0.000000
200, 7.892527, 0.000000
300, 7.887692, 0.000000
400, 7.887692, 0.000000
500, 7.887692, 0.000000
600, 7.892527, 0.000000
700, 7.873187, 0.000000
800, 7.873187, 0.000000
900, 7.873187, 0.000000
1000, 7.873187, 0.000000
1100, 7.873187, 0.000000
1200, 7.878022, 0.000000
1300, 7.873187, 0.000000
1400, 7.873187, 0.000000
1500, 7.873187, 0.000000
1600, 7.873187, 0.000000
1700, 7.873187, 0.000000
1800, 7.873187, 0.000000
1900, 7.873187, 0.000000
2000, 7.873187, 0.000000
2100, 7.873187, 0.000000
2200, 7.887692, 0.000000
2300, 7.887692, 0.000000
2400, 7.887692, 0.000000
2500, 7.892527, 0.000000
2600, 7.882857, 0.000000
2700, 7.868352, 0.000000
2800, 7.873187, 0.000000
2900, 7.873187, 0.000000
3000, 7.873187, 0.000000
3100, 7.897363, 0.000000
3200, 7.873187, 0.000000
3300, 7.873187, 0.000000
3400, 7.873187, 0.000000
3500, 7.873187, 0.000000
3600, 7.873187, 0.000000
3700, 7.873187, 0.000000
3800, 7.873187, 0.000000
3900, 7.873187, 0.000000
4000, 7.873187, 0.000000
4100, 7.873187, 0.000000
4200, 7.887692, 0.000000
4300, 7.887692, 0.000000
4400, 7.892527, 0.000000
4500, 7.887692, 0.000000
4600, 7.887692, 0.000000
4700, 7.868352, 0.000000
4800, 7.873187, 0.000000
4900, 7.868352, 0.000000
5000, 7.868352, 0.000000
5100, 7.878022, 0.000000
5200, 7.868352, 0.000000
5300, 7.873187, 0.000000
5400, 7.873187, 0.000000
5500, 7.878022, 0.000000
5600, 7.873187, 0.000000
5700, 7.873187, 0.000000
5800, 7.878022, 0.000000
5900, 7.873187, 0.000000
6000, 7.873187, 0.000000
6100, 7.868352, 0.000000
6200, 7.887692, 0.000000
6300, 7.887692, 0.000000
6400, 7.887692, 0.000000
6500, 7.887692, 0.000000
6600, 7.892527, 0.000000
6700, 7.873187, 0.000000
6800, 7.873187, 0.000000
6900, 7.873187, 0.000000
7000, 7.873187, 0.000000
7100, 7.873187, 0.000000
7200, 7.868352, 0.000000
7300, 7.873187, 0.000000
7400, 7.887692, 0.000000
7500, 7.873187, 0.000000
7600, 7.873187, 0.000000
7700, 7.873187, 0.000000
7800, 7.873187, 0.000000
7900, 7.878022, 0.000000
8000, 7.868352, 0.000000
8100, 7.873187, 0.000000
8200, 7.887692, 0.000000
8300, 7.887692, 0.000000
8400, 7.882857, 0.000000
8500, 7.887692, 0.000000
8600, 7.887692, 0.000000
8700, 7.873187, 0.000000
8800, 7.873187, 0.000000
8900, 7.868352, 0.000000
9000, 7.873187, 0.000000
